DISTANCE	RL	AIR	ADR	IR	DR	AVG_GAP_SIZE	MSA_LEN	MSA_MAX_LEN	MSA_MIN_LEN	TOT_NUM_GAPS	NUM_GAPS_LEN_ONE	NUM_GAPS_LEN_TWO	NUM_GAPS_LEN_THREE	NUM_GAPS_LEN_AT_LEAST_FOUR	AVG_UNIQUE_GAP_SIZE	TOT_NUM_UNIQE_GAPS	NUM_GAPS_LEN_ONE_POS_1_GAPS	NUM_GAPS_LEN_ONE_POS_2_GAPS	NUM_GAPS_LEN_ONE_POS_N_MINUS_1_GAPS	NUM_GAPS_LEN_TWO_POS_1_GAPS	NUM_GAPS_LEN_TWO_POS_2_GAPS	NUM_GAPS_LEN_TWO_POS_N_MINUS_1_GAPS	NUM_GAPS_LEN_THREE_POS_1_GAPS	NUM_GAPS_LEN_THREE_POS_2_GAPS	NUM_GAPS_LEN_THREE_POS_N_MINUS_1_GAPS	NUM_GAPS_LEN_AT_LEAST_FOUR_POS_1_GAPS	NUM_GAPS_LEN_AT_LEAST_FOUR_POS_2_GAPS	NUM_GAPS_LEN_AT_LEAST_FOUR_POS_N_MINUS_1_GAPS	MSA_POSITION_WITH_0_GAPS	MSA_POSITION_WITH_1_GAPS	MSA_POSITION_WITH_2_GAPS	MSA_POSITION_WITH_N_MINUS_1_GAPS
input_msa						5.0	80	80	75	3	0	0	0	3	5.0	1	0	0	0	0	0	0	0	0	0	0	0	1	75	0	0	5
input_msa						8.0	80	80	72	3	0	0	0	3	8.0	1	0	0	0	0	0	0	0	0	0	0	0	1	72	0	0	8
input_msa						2.75	91	91	85	4	2	0	1	1	2.75	4	2	0	0	0	0	0	1	0	0	1	0	0	81	9	1	0
input_msa						11.75	90	90	69	4	0	0	0	4	10.6667	3	0	0	0	0	0	0	0	0	0	2	1	0	69	6	4	11
input_msa						10.6667	82	82	52	3	2	0	0	1	10.6667	3	2	0	0	0	0	0	0	0	0	1	0	0	51	30	1	0
input_msa						14.0	82	82	49	3	0	0	0	3	14.0	3	0	0	0	0	0	0	0	0	0	3	0	0	49	28	1	4
input_msa						6.4	80	77	67	5	0	0	1	4	5.33333	3	0	0	0	0	0	0	1	0	0	1	0	1	67	2	3	8
input_msa						2.5	70	70	67	2	0	1	1	0	2.5	2	0	0	0	1	0	0	1	0	0	0	0	0	65	5	0	0
input_msa						0.0	81	81	81	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0
input_msa						0.0	81	81	81	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0
input_msa						2.0	75	75	71	2	1	0	1	0	2.0	2	1	0	0	0	0	0	1	0	0	0	0	0	71	4	0	0
