DISTANCE	RL	AIR	ADR	IR	DR	AVG_GAP_SIZE	MSA_LEN	MSA_MAX_LEN	MSA_MIN_LEN	TOT_NUM_GAPS	NUM_GAPS_LEN_ONE	NUM_GAPS_LEN_TWO	NUM_GAPS_LEN_THREE	NUM_GAPS_LEN_AT_LEAST_FOUR	AVG_UNIQUE_GAP_SIZE	TOT_NUM_UNIQE_GAPS	NUM_GAPS_LEN_ONE_POS_1_GAPS	NUM_GAPS_LEN_ONE_POS_2_GAPS	NUM_GAPS_LEN_ONE_POS_N_MINUS_1_GAPS	NUM_GAPS_LEN_TWO_POS_1_GAPS	NUM_GAPS_LEN_TWO_POS_2_GAPS	NUM_GAPS_LEN_TWO_POS_N_MINUS_1_GAPS	NUM_GAPS_LEN_THREE_POS_1_GAPS	NUM_GAPS_LEN_THREE_POS_2_GAPS	NUM_GAPS_LEN_THREE_POS_N_MINUS_1_GAPS	NUM_GAPS_LEN_AT_LEAST_FOUR_POS_1_GAPS	NUM_GAPS_LEN_AT_LEAST_FOUR_POS_2_GAPS	NUM_GAPS_LEN_AT_LEAST_FOUR_POS_N_MINUS_1_GAPS	MSA_POSITION_WITH_0_GAPS	MSA_POSITION_WITH_1_GAPS	MSA_POSITION_WITH_2_GAPS	MSA_POSITION_WITH_N_MINUS_1_GAPS
input_msa						0.0	84	84	84	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0
input_msa						6.0	66	66	57	3	1	0	0	2	6.0	3	1	0	0	0	0	0	0	0	0	2	0	0	48	18	0	0
input_msa						5.5	88	85	77	6	0	0	3	3	5.5	2	0	0	0	0	0	0	0	0	1	0	0	1	77	0	0	11
input_msa						1.0	66	66	65	3	3	0	0	0	1.0	1	0	0	1	0	0	0	0	0	0	0	0	0	65	0	0	1
input_msa						1.0	81	81	80	3	3	0	0	0	1.0	1	0	0	1	0	0	0	0	0	0	0	0	0	80	0	0	1
input_msa						3.75	73	72	61	4	3	0	0	1	4.66667	3	1	1	0	0	0	0	0	0	0	1	0	0	60	12	0	1
input_msa						0.0	84	84	84	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0
input_msa						2.0	67	67	65	2	0	2	0	0	2.0	1	0	0	0	0	1	0	0	0	0	0	0	0	65	0	2	0
input_msa						1.27273	85	83	80	11	8	3	0	0	1.25	4	0	1	2	0	0	1	0	0	0	0	0	0	80	0	1	4
input_msa						7.0	104	104	89	6	3	0	0	3	4.0	4	3	0	0	0	0	0	0	0	0	0	0	1	88	3	0	13
input_msa						1.0	67	67	66	3	3	0	0	0	1.0	1	0	0	1	0	0	0	0	0	0	0	0	0	66	0	0	1
input_msa						0.0	83	83	83	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0
input_msa						1.33333	84	84	81	3	2	1	0	0	1.33333	3	2	0	0	1	0	0	0	0	0	0	0	0	80	4	0	0
input_msa						2.33333	87	85	80	9	6	0	0	3	2.33333	3	0	0	2	0	0	0	0	0	0	0	0	1	80	0	0	7
input_msa						2.75	76	76	71	4	0	3	0	1	3.0	3	0	0	0	1	1	0	0	0	0	1	0	0	69	5	0	2
input_msa						7.0	95	95	85	4	1	0	0	3	5.0	2	1	0	0	0	0	0	0	0	0	0	0	1	85	1	0	9
input_msa						0.0	80	80	80	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0
input_msa						0.0	89	89	89	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0
input_msa						1.0	90	90	89	1	1	0	0	0	1.0	1	1	0	0	0	0	0	0	0	0	0	0	0	89	1	0	0
input_msa						9.0	72	72	63	1	0	0	0	1	9.0	1	0	0	0	0	0	0	0	0	0	1	0	0	63	9	0	0
input_msa						11.5	89	89	48	6	1	0	0	5	11.75	4	1	0	0	0	0	0	0	0	0	2	0	1	48	25	4	12
input_msa						0.0	78	78	78	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0
input_msa						15.0	75	75	46	2	1	0	0	1	15.0	2	1	0	0	0	0	0	0	0	0	1	0	0	46	28	1	0
input_msa						5.66667	81	81	66	3	2	0	0	1	5.66667	3	2	0	0	0	0	0	0	0	0	1	0	0	65	15	1	0
input_msa						0.0	73	73	73	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0
input_msa						6.4	77	73	67	5	0	0	0	5	5.5	4	0	0	0	0	0	0	0	0	0	3	1	0	59	8	6	4
input_msa						22.0	96	96	74	3	0	0	0	3	22.0	1	0	0	0	0	0	0	0	0	0	0	0	1	74	0	0	22
input_msa						0.0	74	74	74	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0
input_msa						2.0	83	83	81	1	0	1	0	0	2.0	1	0	0	0	1	0	0	0	0	0	0	0	0	81	2	0	0
input_msa						1.33333	74	74	71	3	2	1	0	0	1.33333	3	2	0	0	1	0	0	0	0	0	0	0	0	70	4	0	0
input_msa						0.0	65	65	65	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0
input_msa						0.0	79	79	79	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0
input_msa						1.0	69	69	68	3	3	0	0	0	1.0	1	0	0	1	0	0	0	0	0	0	0	0	0	68	0	0	1
input_msa						0.0	64	64	64	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0
input_msa						2.0	91	91	89	2	0	2	0	0	2.0	2	0	0	0	2	0	0	0	0	0	0	0	0	87	4	0	0
input_msa						4.75	77	77	70	4	1	0	0	3	3.5	2	1	0	0	0	0	0	0	0	0	0	0	1	70	1	0	6
input_msa						2.71429	75	74	68	7	2	0	3	2	2.5	6	2	0	0	0	0	0	3	0	0	0	1	0	63	8	1	3
input_msa						0.0	81	81	81	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0
input_msa						0.0	86	86	86	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0
input_msa						5.83333	74	74	61	6	0	0	0	6	5.66667	3	0	0	0	0	0	0	0	0	0	1	1	1	57	4	8	5
input_msa						1.5	74	73	71	6	3	3	0	0	1.5	2	0	0	1	0	0	1	0	0	0	0	0	0	71	0	0	3
input_msa						2.2	86	86	76	10	6	1	0	3	3.0	6	0	0	2	1	0	0	0	0	0	3	0	0	74	6	2	4
input_msa						1.5	70	70	66	4	3	0	1	0	2.0	2	0	0	1	0	0	0	1	0	0	0	0	0	66	3	0	1
input_msa						0.0	68	68	68	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0
input_msa						0.0	69	69	69	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0
input_msa						2.0	81	81	79	3	0	3	0	0	2.0	1	0	0	0	0	0	1	0	0	0	0	0	0	79	0	0	2
input_msa						7.0	98	98	91	3	0	0	0	3	7.0	1	0	0	0	0	0	0	0	0	0	0	0	1	91	0	0	7
input_msa						4.0	86	86	79	2	1	0	0	1	4.0	2	1	0	0	0	0	0	0	0	0	1	0	0	79	6	1	0
input_msa						1.66667	67	66	61	6	4	1	0	1	2.0	4	1	0	1	1	0	0	0	0	0	1	0	0	59	7	0	1
input_msa						5.44444	91	83	75	9	1	0	0	8	5.0	5	1	0	0	0	0	0	0	0	0	2	0	2	66	13	0	12
input_msa						12.5714	119	119	77	7	0	0	1	6	12.4	5	0	0	0	0	0	0	1	0	0	3	0	1	77	15	8	19
input_msa						1.0	76	76	74	4	4	0	0	0	1.0	2	1	0	1	0	0	0	0	0	0	0	0	0	74	1	0	1
input_msa						8.5	80	80	66	2	0	0	1	1	8.5	2	0	0	0	0	0	0	1	0	0	1	0	0	66	11	3	0
input_msa						0.0	66	66	66	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0
input_msa						0.0	69	69	69	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0
input_msa						2.0	88	88	86	3	0	3	0	0	2.0	1	0	0	0	0	0	1	0	0	0	0	0	0	86	0	0	2
input_msa						7.25	73	72	47	4	3	0	0	1	13.5	2	0	0	1	0	0	0	0	0	0	1	0	0	46	26	0	1
input_msa						3.5	89	89	79	4	0	3	0	1	4.0	3	0	0	0	1	1	0	0	0	0	1	0	0	79	8	0	2
input_msa						0.0	87	87	87	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0
input_msa						0.0	84	84	84	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0
input_msa						4.0	72	72	68	3	0	0	0	3	4.0	1	0	0	0	0	0	0	0	0	0	0	0	1	68	0	0	4
input_msa						1.0	85	85	84	3	3	0	0	0	1.0	1	0	0	1	0	0	0	0	0	0	0	0	0	84	0	0	1
input_msa						0.0	66	66	66	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0
input_msa						0.0	72	72	72	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0
input_msa						5.33333	81	81	74	3	0	1	0	2	4.5	2	0	0	0	1	0	0	0	0	0	0	1	0	74	0	5	2
input_msa						0.0	77	77	77	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0
input_msa						0.0	89	89	89	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0
input_msa						2.0	70	70	68	1	0	1	0	0	2.0	1	0	0	0	1	0	0	0	0	0	0	0	0	68	2	0	0
input_msa						0.0	86	86	86	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0
input_msa						1.0	81	81	79	3	3	0	0	0	1.0	3	3	0	0	0	0	0	0	0	0	0	0	0	78	3	0	0
input_msa						0.0	63	63	63	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0
input_msa						2.625	89	87	82	8	4	1	0	3	2.25	4	1	0	1	1	0	0	0	0	0	0	0	1	81	1	1	6
input_msa						0.0	69	69	69	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0
input_msa						27.0	141	132	58	7	0	0	0	7	30.5	4	0	0	0	0	0	0	0	0	0	2	1	1	58	25	10	48
input_msa						7.5	87	87	73	2	1	0	0	1	7.5	2	1	0	0	0	0	0	0	0	0	1	0	0	72	15	0	0
input_msa						2.0	75	75	73	2	0	2	0	0	2.0	1	0	0	0	0	1	0	0	0	0	0	0	0	73	0	2	0
input_msa						9.85714	96	87	73	7	0	1	0	6	9.25	4	0	0	0	1	0	0	0	0	0	1	1	1	71	2	2	21
input_msa						13.0	120	117	81	9	0	0	3	6	13.0	3	0	0	0	0	0	0	0	0	1	0	0	2	81	0	0	39
input_msa						1.0	76	75	74	5	5	0	0	0	1.0	3	2	0	1	0	0	0	0	0	0	0	0	0	73	2	0	1
input_msa						4.0	70	70	66	3	0	0	0	3	4.0	1	0	0	0	0	0	0	0	0	0	0	0	1	66	0	0	4
input_msa						1.11111	91	90	87	9	8	1	0	0	1.25	4	0	1	2	1	0	0	0	0	0	0	0	0	86	2	1	2
input_msa						2.0	86	85	82	6	3	0	3	0	2.0	2	0	0	1	0	0	0	0	0	1	0	0	0	82	0	0	4
input_msa						5.75	97	95	90	4	0	1	0	3	4.5	2	0	0	0	1	0	0	0	0	0	0	0	1	88	2	0	7
input_msa						2.0	76	75	69	8	5	2	0	1	2.75	4	0	1	1	0	1	0	0	0	0	1	0	0	67	5	1	3
input_msa						1.75	67	66	65	4	1	3	0	0	1.5	2	1	0	0	0	0	1	0	0	0	0	0	0	64	1	0	2
input_msa						0.0	71	71	71	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0
input_msa						0.0	90	90	90	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0
input_msa						1.0	85	84	83	6	6	0	0	0	1.0	2	0	0	2	0	0	0	0	0	0	0	0	0	83	0	0	2
input_msa						2.0	70	70	68	3	0	3	0	0	2.0	1	0	0	0	0	0	1	0	0	0	0	0	0	68	0	0	2
input_msa						4.77778	90	87	74	9	1	0	5	3	4.0	4	1	0	0	0	0	0	0	1	1	0	0	1	74	1	3	12
input_msa						2.0	81	81	77	5	2	2	0	1	2.33333	3	0	1	0	0	1	0	0	0	0	1	0	0	76	2	1	2
input_msa						4.0	74	74	70	1	0	0	0	1	4.0	1	0	0	0	0	0	0	0	0	0	1	0	0	70	4	0	0
input_msa						0.0	84	84	84	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0
input_msa						36.8333	159	159	81	6	0	0	0	6	38.0	4	0	0	0	0	0	0	0	0	0	2	2	0	76	14	0	69
input_msa						1.25	68	67	66	4	3	1	0	0	1.5	2	0	0	1	1	0	0	0	0	0	0	0	0	65	2	0	1
input_msa						1.0	87	87	86	1	1	0	0	0	1.0	1	1	0	0	0	0	0	0	0	0	0	0	0	86	1	0	0
input_msa						3.0	81	81	75	4	0	0	4	0	3.0	2	0	0	0	0	0	0	1	0	1	0	0	0	75	3	0	3
input_msa						9.85714	90	89	55	7	4	0	0	3	13.0	4	1	0	1	0	0	0	0	0	0	1	1	0	54	19	1	16
input_msa						9.5	91	87	72	6	0	0	0	6	9.5	2	0	0	0	0	0	0	0	0	0	0	0	2	72	0	0	19
input_msa						1.0	86	86	85	1	1	0	0	0	1.0	1	1	0	0	0	0	0	0	0	0	0	0	0	85	1	0	0
input_msa						5.33333	84	84	71	3	1	1	0	1	5.33333	3	1	0	0	1	0	0	0	0	0	1	0	0	68	16	0	0
input_msa						0.0	81	81	81	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0
input_msa						0.0	87	87	87	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0
input_msa						1.0	75	75	74	3	3	0	0	0	1.0	1	0	0	1	0	0	0	0	0	0	0	0	0	74	0	0	1
input_msa						11.4	141	133	84	15	9	0	0	6	9.66667	6	1	1	2	0	0	0	0	0	0	0	0	2	83	1	1	56
input_msa						0.0	70	70	70	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0
input_msa						0.0	73	73	73	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0
input_msa						2.5	69	68	64	6	3	0	0	3	2.5	2	0	0	1	0	0	0	0	0	0	0	0	1	64	0	0	5
input_msa						3.0	92	92	89	3	0	0	3	0	3.0	1	0	0	0	0	0	0	0	0	1	0	0	0	89	0	0	3
input_msa						1.0	92	92	91	3	3	0	0	0	1.0	1	0	0	1	0	0	0	0	0	0	0	0	0	91	0	0	1
input_msa						0.0	63	63	63	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0
input_msa						2.0	80	80	78	3	0	3	0	0	2.0	1	0	0	0	0	0	1	0	0	0	0	0	0	78	0	0	2
input_msa						8.0	70	70	56	2	0	1	0	1	8.0	2	0	0	0	1	0	0	0	0	0	1	0	0	54	16	0	0
input_msa						4.375	84	79	73	8	2	0	3	3	3.25	4	2	0	0	0	0	0	0	0	1	0	0	1	71	2	0	11
input_msa						19.7143	110	110	61	7	0	0	0	7	17.5	4	0	0	0	0	0	0	0	0	0	2	1	1	61	4	1	44
input_msa						7.66667	77	77	55	3	1	1	0	1	7.66667	3	1	0	0	1	0	0	0	0	0	1	0	0	54	23	0	0
input_msa						5.66667	92	92	83	3	0	1	0	2	5.66667	3	0	0	0	1	0	0	0	0	0	2	0	0	83	3	4	2
input_msa						0.0	74	74	74	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0
input_msa						0.0	65	65	65	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0
input_msa						1.0	75	74	73	5	5	0	0	0	1.0	2	0	1	1	0	0	0	0	0	0	0	0	0	73	0	1	1
input_msa						4.57143	77	75	51	7	6	0	0	1	7.25	4	1	1	1	0	0	0	0	0	0	1	0	0	50	24	1	2
input_msa						7.0	90	89	65	4	3	0	0	1	13.0	2	0	0	1	0	0	0	0	0	0	1	0	0	64	25	0	1
input_msa						0.0	83	83	83	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0
