DISTANCE	RL	AIR	ADR	IR	DR	AVG_GAP_SIZE	MSA_LEN	MSA_MAX_LEN	MSA_MIN_LEN	TOT_NUM_GAPS	NUM_GAPS_LEN_ONE	NUM_GAPS_LEN_TWO	NUM_GAPS_LEN_THREE	NUM_GAPS_LEN_AT_LEAST_FOUR	AVG_UNIQUE_GAP_SIZE	TOT_NUM_UNIQE_GAPS	NUM_GAPS_LEN_ONE_POS_1_GAPS	NUM_GAPS_LEN_ONE_POS_2_GAPS	NUM_GAPS_LEN_ONE_POS_N_MINUS_1_GAPS	NUM_GAPS_LEN_TWO_POS_1_GAPS	NUM_GAPS_LEN_TWO_POS_2_GAPS	NUM_GAPS_LEN_TWO_POS_N_MINUS_1_GAPS	NUM_GAPS_LEN_THREE_POS_1_GAPS	NUM_GAPS_LEN_THREE_POS_2_GAPS	NUM_GAPS_LEN_THREE_POS_N_MINUS_1_GAPS	NUM_GAPS_LEN_AT_LEAST_FOUR_POS_1_GAPS	NUM_GAPS_LEN_AT_LEAST_FOUR_POS_2_GAPS	NUM_GAPS_LEN_AT_LEAST_FOUR_POS_N_MINUS_1_GAPS	MSA_POSITION_WITH_0_GAPS	MSA_POSITION_WITH_1_GAPS	MSA_POSITION_WITH_2_GAPS	MSA_POSITION_WITH_N_MINUS_1_GAPS
input_msa						8.35294	83	83	46	17	4	1	0	12	7.4	5	0	0	1	1	0	0	0	0	0	0	0	3	46	2	0	35
input_msa						3.90476	99	96	70	21	7	5	1	8	4.0	9	1	1	1	0	1	0	1	0	0	0	2	1	67	2	20	10
input_msa						8.55556	164	160	60	18	4	1	4	9	12.5	10	0	0	1	1	0	0	1	0	0	4	1	0	57	85	6	9
input_msa						6.18182	73	73	48	11	3	0	0	8	5.2	5	1	1	0	0	0	0	0	0	0	1	0	1	48	8	0	9
input_msa						10.1364	124	96	71	22	7	1	0	14	9.3	10	0	0	1	1	0	0	0	0	0	4	1	2	58	13	0	51
input_msa						1.57143	100	99	91	14	9	4	0	1	2.0	5	1	0	2	0	0	1	0	0	0	1	0	0	90	6	0	4
input_msa						5.68182	206	174	107	44	18	7	3	16	7.71429	21	1	2	1	0	0	1	1	1	0	6	2	0	91	63	5	36
input_msa						9.76	151	120	88	25	4	2	1	18	9.0	14	0	2	0	2	0	0	1	0	0	5	1	2	57	41	4	48
input_msa						4.88889	88	71	70	18	3	0	5	10	5.0	7	0	0	0	0	0	0	1	0	1	2	0	2	54	16	0	18
input_msa						2.14286	90	88	78	21	13	4	0	4	1.85714	7	1	1	1	0	0	1	0	0	0	0	0	1	77	1	1	9
input_msa						8.07692	153	122	99	26	7	1	7	11	8.15385	13	1	1	1	1	0	0	0	2	0	4	0	1	76	25	4	33
input_msa						2.38462	50	45	43	13	5	2	2	4	2.33333	6	1	0	1	0	1	0	2	0	0	0	0	1	37	6	1	5
input_msa						10.3333	77	50	41	15	0	0	0	15	11.0	6	0	0	0	0	0	0	0	0	0	2	1	2	25	16	0	31
input_msa						27.4211	201	134	79	19	0	2	1	16	22.6667	9	0	0	0	0	1	0	1	0	0	3	1	2	38	33	13	111
input_msa						9.57143	69	57	15	14	2	3	2	7	11.0	8	2	0	0	0	0	0	0	1	0	2	1	0	5	38	4	22
input_msa						9.47059	107	93	68	17	5	0	2	10	6.625	8	1	0	1	0	0	0	2	0	0	2	0	2	57	12	1	36
input_msa						20.3333	122	89	46	12	3	0	0	9	18.0	8	1	1	0	0	0	0	0	0	0	5	0	1	26	27	25	35
input_msa						13.75	98	96	43	16	1	3	0	12	14.8571	7	1	0	0	0	0	0	0	0	0	1	2	1	42	0	1	53
input_msa						5.2	140	115	88	35	13	2	3	17	4.94444	18	1	2	2	0	1	0	3	0	0	5	1	1	70	23	6	24
input_msa						6.66667	82	80	57	15	6	1	0	8	5.4	5	0	1	1	1	0	0	0	0	0	0	0	2	55	2	1	24
input_msa						6.20833	114	97	79	24	3	3	6	12	5.84615	13	0	0	0	1	1	0	0	0	0	6	1	1	61	17	4	28
input_msa						11.7273	107	93	61	11	3	1	1	6	11.2857	7	0	0	0	1	0	0	1	0	0	3	0	0	45	34	3	14
input_msa						14.8261	149	122	59	23	2	2	1	18	9.72727	11	2	0	0	2	0	0	1	0	0	1	0	2	54	4	1	65
input_msa						4.925	159	148	100	40	16	5	7	12	5.0	17	0	3	1	1	0	1	1	0	0	4	0	2	91	18	10	39
input_msa						33.9286	156	146	39	14	5	0	0	9	25.4	5	1	0	1	0	0	0	0	0	0	1	0	2	29	11	0	116
input_msa						8.5	114	100	58	26	6	0	1	19	7.66667	9	0	0	0	0	0	0	1	0	0	1	1	4	53	5	0	48
