DISTANCE	RL	AIR	ADR	IR	DR	AVG_GAP_SIZE	MSA_LEN	MSA_MAX_LEN	MSA_MIN_LEN	TOT_NUM_GAPS	NUM_GAPS_LEN_ONE	NUM_GAPS_LEN_TWO	NUM_GAPS_LEN_THREE	NUM_GAPS_LEN_AT_LEAST_FOUR	AVG_UNIQUE_GAP_SIZE	TOT_NUM_UNIQE_GAPS	NUM_GAPS_LEN_ONE_POS_1_GAPS	NUM_GAPS_LEN_ONE_POS_2_GAPS	NUM_GAPS_LEN_ONE_POS_N_MINUS_1_GAPS	NUM_GAPS_LEN_TWO_POS_1_GAPS	NUM_GAPS_LEN_TWO_POS_2_GAPS	NUM_GAPS_LEN_TWO_POS_N_MINUS_1_GAPS	NUM_GAPS_LEN_THREE_POS_1_GAPS	NUM_GAPS_LEN_THREE_POS_2_GAPS	NUM_GAPS_LEN_THREE_POS_N_MINUS_1_GAPS	NUM_GAPS_LEN_AT_LEAST_FOUR_POS_1_GAPS	NUM_GAPS_LEN_AT_LEAST_FOUR_POS_2_GAPS	NUM_GAPS_LEN_AT_LEAST_FOUR_POS_N_MINUS_1_GAPS	MSA_POSITION_WITH_0_GAPS	MSA_POSITION_WITH_1_GAPS	MSA_POSITION_WITH_2_GAPS	MSA_POSITION_WITH_N_MINUS_1_GAPS
input_msa						5.88462	148	128	94	26	9	3	0	14	6.46154	13	3	0	0	0	0	0	0	0	0	4	1	2	71	50	0	22
input_msa						1.0	77	77	76	4	4	0	0	0	1.0	1	0	0	1	0	0	0	0	0	0	0	0	0	76	0	0	1
input_msa						7.0	114	108	95	11	3	2	1	5	6.83333	6	0	0	0	0	1	0	1	0	0	2	0	0	79	16	2	6
input_msa						11.6667	128	124	73	12	1	0	4	7	11.8571	7	1	0	0	0	0	0	0	0	1	4	0	0	68	33	0	26
input_msa						8.4	130	108	92	15	8	1	0	6	10.0	6	0	0	2	1	0	0	0	0	0	2	0	1	70	38	0	22
input_msa						2.4	91	83	77	25	8	12	0	5	2.66667	9	1	0	1	1	0	2	0	0	0	1	0	1	69	9	0	12
input_msa						9.36842	113	96	71	19	9	1	0	9	8.28571	7	0	0	0	1	0	0	0	0	0	1	0	2	58	12	2	39
input_msa						9.0	71	67	49	8	0	0	0	8	10.5	4	0	0	0	0	0	0	0	0	0	2	1	1	43	6	4	4
input_msa						2.94444	93	87	72	18	7	4	1	6	3.0	9	1	1	1	1	0	0	1	0	0	2	0	1	67	16	0	7
input_msa						4.23529	93	84	68	17	2	1	4	10	4.77778	9	2	0	0	1	0	0	0	0	1	3	0	1	57	23	1	11
